Crop,Crop_Year,Season,Area,Production
Cotton(lint),1997-98,Whole Year,1518900.0,3180200
Cotton(lint),1998-99,Kharif,1658500.0,3903000
Cotton(lint),1999-00,Kharif,1539400.0,2085500
Cotton(lint),2000,Kharif,1615400.0,1161400
Cotton(lint),2001,Kharif,1749800.0,1703200
Cotton(lint),2002,Kharif,1634800.0,1684500
Cotton(lint),2003,Kharif,1641000.0,4026900
Cotton(lint),2004,Kharif,1906300.0,5443500
Cotton(lint),2005,Kharif,2010800.0,6871600
Cotton(lint),2006,Kharif,2372100.0,7876400
Cotton(lint),2007,Kharif,2422000.0,8275700
Cotton(lint),2008,Kharif,2353600.0,7013800
Cotton(lint),2009,Kharif,2464400.0,7401000
Cotton(lint),2010,Kharif,2623200.0,9825300
Cotton(lint),2011,Kharif,3003100.0,10374600
Cotton(lint),2012,Kharif,2457200.0,4950900
Cotton(lint),2013,Kharif,2608410.0,10511576
Cotton(lint),2014,Kharif,2883793.0,9233677
Cotton(lint),2015,Kharif,2721598.0,7542431
Cotton(lint),2016,Kharif,2390944.0,5155549
Cotton(lint),2017,Kharif,2626487.0,10112737
Cotton(lint),2018,Kharif,2660056.0,6302745
Cotton(lint),2019,Kharif,2654636.0,8624334
Groundnut,1997-98,Kharif,1826300.0,2453600
Groundnut,1997-98,Summer,99900.0,162200
Groundnut,1998-99,Kharif,1813100.0,2368100
Groundnut,1998-99,Summer,127700.0,209700
Groundnut,1999-00,Kharif,1768700.0,617300
Groundnut,1999-00,Summer,67200.0,100100
Groundnut,2000,Kharif,1712200.0,629600
Groundnut,2000,Summer,32600.0,58600
Groundnut,2001,Kharif,1850700.0,2592100
Groundnut,2001,Summer,37000.0,54500
Groundnut,2002,Kharif,1972600.0,1001300
Groundnut,2002,Summer,56800.0,93100
Groundnut,2003,Kharif,1912800.0,4336500
Groundnut,2003,Summer,90600.0,141000
Groundnut,2004,Kharif,1924500.0,1705500
Groundnut,2004,Summer,60500.0,106500
Groundnut,2005,Kharif,1851900.0,3204900
Groundnut,2005,Summer,90100.0,153200
Groundnut,2006,Kharif,1752400.0,1675800
Groundnut,2006,Summer,100100.0,174600
Groundnut,2007,Kharif,1712400.0,3049200
Groundnut,2007,Summer,144700.0,249700
Groundnut,2008,Kharif,1795400.0,2456000
Groundnut,2008,Summer,112000.0,204900
Groundnut,2009,Kharif,1757600.0,1633200
Groundnut,2009,Summer,65000.0,123700
Groundnut,2010,Kharif,1691200.0,3159100
Groundnut,2010,Summer,230500.0,415900
Groundnut,2011,Kharif,1454000.0,2273100
Groundnut,2011,Summer,232300.0,443700
Groundnut,2012,Kharif,1219400.0,612000
Groundnut,2012,Summer,65800.0,150600
Groundnut,2013,Kharif,1748599.0,5278326
Groundnut,2013,Summer,81488.0,156700
Groundnut,2014,Kharif,1332076.0,2555986
Groundnut,2014,Summer,51196.0,94178
Groundnut,2015,Kharif,1355815.0,1935562
Groundnut,2015,Summer,57421.0,95577
Groundnut,2016,Kharif,1694732.0,2761198
Groundnut,2016,Summer,63644.0,113190
Groundnut,2017,Kharif,1627275.0,3970876
Groundnut,2017,Summer,51508.0,94931
Groundnut,2018,Kharif,1566372.0,2143341
Groundnut,2018,Summer,27842.0,60032
Groundnut,2019,Kharif,1629275.0,4503628
Groundnut,2019,Summer,59423.0,142226
Maize,1997-98,Whole Year,399800.0,659000
Maize,1998-99,Kharif,408300.0,696000
Maize,1999-00,Kharif,391000.0,504000
Maize,2000,Kharif,382900.0,288500
Maize,2001,Kharif,443500.0,884600
Maize,2002,Kharif,464500.0,792600
Maize,2003,Kharif,484400.0,831900
Maize,2004,Kharif,459500.0,412500
Maize,2005,Kharif,456900.0,722400
Maize,2006,Kharif,447700.0,201700
Maize,2007,Kharif,424000.0,583100
Maize,2008,Kharif,418900.0,602600
Maize,2009,Kharif,411700.0,396600
Maize,2010,Kharif,422500.0,692100
Maize,2010,Rabi,110000.0,220000
Maize,2010,Summer,33000.0,66000
Maize,2011,Kharif,387000.0,539400
Maize,2011,Rabi,106100.0,199900
Maize,2011,Summer,22800.0,47300
Maize,2012,Kharif,373200.0,625000
Maize,2012,Rabi,80600.0,157100
Maize,2012,Summer,4000.0,8300
Maize,2013,Kharif,333135.0,421915
Maize,2013,Rabi,92747.0,196862
Maize,2013,Summer,6541.0,13374
Maize,2014,Kharif,308788.0,387805
Maize,2014,Rabi,79664.0,169660
Maize,2014,Summer,5890.0,11341
Maize,2015,Kharif,297588.0,393828
Maize,2015,Rabi,88311.0,201807
Maize,2015,Summer,6022.0,12876
Maize,2016,Kharif,321379.0,539081
Maize,2016,Rabi,117169.0,277521
Maize,2016,Summer,11311.0,24059
Maize,2017,Kharif,302790.0,469550
Maize,2017,Rabi,92558.0,235342
Maize,2017,Summer,4636.0,9848
Maize,2018,Kharif,310536.0,549680
Maize,2018,Rabi,95598.0,245862
Maize,2018,Summer,3090.0,6356
Maize,2019,Kharif,300503.0,449952
Maize,2019,Rabi,132342.0,333579
Maize,2019,Summer,5516.0,12676
Wheat,1997-98,Rabi,694000.0,1647100
Wheat,1998-99,Rabi,705400.0,1702600
Wheat,1999-00,Rabi,482100.0,1020000
